title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
鼓楼桥西,116.39689,39.95527,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289409.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
故宫西门(西华门),116.39781,39.92109,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294863.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
果子市,116.38939,39.953,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288837.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东华门,116.4131,39.92097,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288809.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东安门大街西口,116.41537,39.92163,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294874.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西华门,116.39786,39.9205,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288829.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
平安里路口东,116.38,39.93859,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289839.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
地兴居,116.4062,39.95785,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289244.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西黄城根,116.3838,39.92797,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289597.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
平安里路口南,116.37957,39.93752,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289007.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
德胜门内,116.38616,39.9518,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289497.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
平安里路口北,116.37945,39.93978,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289783.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
六铺炕,116.39955,39.95779,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289243.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
