title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
磁器口,116.425336,39.899344,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdciqikou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东大桥,116.458252,39.928625,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zddongdaqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
长椿街,116.369911,39.90534,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdchangchunjie.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
南礼士路,116.359221,39.912979,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdnanlishilu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
光熙门,116.438355,39.974474,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdguangeimen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北土城,116.400663,39.983255,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdbeitucheng.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安贞门,116.412371,39.983322,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdanzhenmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
健德门,116.387816,39.982833,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdjiandemen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
动物园,116.345204,39.943923,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zddongwuyuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
菜市口,116.380973,39.895386,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdcaishikou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
惠新西街南口,116.42404,39.983276,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdhuixinxijienankou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
永安里,116.457089,39.914223,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdyonganli.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
牡丹园,116.376446,39.982371,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdmudanyuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
团结湖,116.468337,39.939382,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdtuanjiehu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
呼家楼,116.468237,39.928981,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdhujialou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
农业展览馆,116.468772,39.946988,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdnongyezhanlanguan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
金台夕照,116.468282,39.922961,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdjintaixizhao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
亮马桥,116.468743,39.955006,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdliangmaqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
大钟寺,116.35182,39.972034,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zddazhongsi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
天坛东门,116.427392,39.888497,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdtiantandongmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
三元桥,116.463623,39.966406,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdsanyuanqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
木樨地,116.344097,39.913125,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdmueidi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
奥体中心,116.400191,39.992442,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdaotizhongxin.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
芍药居,116.443571,39.983549,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdshaoyaoju.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
国贸,116.467524,39.914319,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdguomao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
太阳宫,116.454059,39.978367,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdtaiyanggong.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西土城,116.360484,39.982026,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdxitucheng.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
白堆子,116.332359,39.929707,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdbaiduizi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
国家图书馆,116.331897,39.948864,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdguojiatushuguan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
陶然亭,116.380902,39.884625,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdtaoranting.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
惠新西街北口,116.423532,39.994151,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdhuixinxijiebeikou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
知春路,116.347619,39.982065,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdzhichunlu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
金台路,116.485062,39.928727,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdjintailu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
魏公村,116.329874,39.963457,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdweigongcun.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
双井,116.468453,39.899186,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdshuangjing.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
军事博物馆,116.329314,39.913343,3,1,1,地铁,metro,http://bj.bendibao.com/ditie/zdjunshibowuguan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
大望路,116.482387,39.914135,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zddawanglu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
花园桥,116.317559,39.938382,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdhuayuanqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
白石桥南,116.317559,39.938382,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdbaishiqiaonan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
人民大学,116.32809,39.97277,3,2,1,地铁,metro,http://bj.bendibao.com/ditie/zdrenmindaxue.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
知春里,116.336091,39.982061,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdzhichunli.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
奥林匹克公园,116.399289,40.007194,3,3,1,地铁,metro,http://bj.bendibao.com/ditie/zdaolinpikegongyuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
