title,longitude,latitude,coord_type,type2,weight2,url,ak,geotable_id
昭显庙,116.397,39.924547,3,3,4,http://bj.bendibao.com/jingdian/zhaoxianmiao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
什刹海,116.38874,39.947876,3,2,4,http://bj.bendibao.com/jingdian/shichahai/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
成贤街,116.416054,39.95171,3,1,5,http://bj.bendibao.com/jingdian/chengxianjie/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
商务印书馆涵芬楼,116.417573,39.926394,3,2,7,http://bj.bendibao.com/jingdian/shangwuyinshuguanhanfenlou/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
老舍故居,116.414756,39.924928,3,1,4,http://bj.bendibao.com/jingdian/laosheguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
双寺,116.398639,39.95366,3,3,8,http://bj.bendibao.com/jingdian/shuangsi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
醇亲王府,116.390984,39.950397,3,3,2,http://bj.bendibao.com/jingdian/beijingchunqinwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
后海野鸭岛,116.388942,39.948952,3,2,0,http://bj.bendibao.com/jingdian/houhaiyeyadao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
东四胡同,116.424227,39.932067,3,0,3,http://bj.bendibao.com/jingdian/dongsihutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
宋庆龄故居,116.389918,39.950881,3,0,6,http://bj.bendibao.com/jingdian/beijingsongqinglingguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
府右街,116.388271,39.927646,3,0,6,http://bj.bendibao.com/jingdian/fuyoujie/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
拈花寺,116.393424,39.953065,3,2,9,http://bj.bendibao.com/jingdian/nianhuasi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北锣鼓巷,116.409156,39.955181,3,3,8,http://bj.bendibao.com/jingdian/beiluoguxiang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
崇礼住宅,116.426512,39.936443,3,3,10,http://bj.bendibao.com/jingdian/chonglizhuzhai/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
太和门三大殿,116.403458,39.921718,3,0,7,http://bj.bendibao.com/jingdian/taihemensandadian/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
庄亲王府,116.3826,39.937473,3,3,6,http://bj.bendibao.com/jingdian/zhuangqinwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
东四清真寺,116.423618,39.929486,3,2,0,http://bj.bendibao.com/jingdian/dongsiqingzhensi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
循郡王府,116.420959,39.950487,3,1,3,http://bj.bendibao.com/jingdian/xunjunwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
西什库教堂,116.385198,39.930226,3,1,0,http://bj.bendibao.com/jingdian/xishikujiaotang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
东华门,116.407764,39.921449,3,2,4,http://bj.bendibao.com/jingdian/donghuamen/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
自行车博物馆,116.419639,39.951932,3,1,5,http://lf.bendibao.com/jingdian/zixingchebowuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
国子监,116.419646,39.951932,3,2,4,http://bj.bendibao.com/jingdian/guozijian/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
沙千里故居,116.427501,39.936339,3,0,3,http://bj.bendibao.com/jingdian/shaqianliguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
蔡锷故居,116.382855,39.943883,3,2,1,http://bj.bendibao.com/jingdian/caieguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
花家怡园四合院,116.424984,39.947299,3,2,8,http://bj.bendibao.com/jingdian/huajiayiyuansiheyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
护国寺金刚殿,116.381829,39.941899,3,1,9,http://bj.bendibao.com/jingdian/huguosijingangdian/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
护国寺,116.381829,39.941899,3,0,10,http://bj.bendibao.com/jingdian/huguosi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
王府井教堂,116.417733,39.923662,3,3,1,http://bj.bendibao.com/jingdian/wangfujingjiaotang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
西华门,116.399365,39.921117,3,2,8,http://bj.bendibao.com/jingdian/xihuamen/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
礼士胡同四合院,116.424051,39.928105,3,3,3,http://bj.bendibao.com/jingdian/lishihutongsiheyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
礼士胡同,116.424051,39.928105,3,1,1,http://bj.bendibao.com/jingdian/lishihutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
孔庙,116.420955,39.951925,3,1,4,http://bj.bendibao.com/jingdian/beijingkongmiao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
百花深处胡同,116.381812,39.943953,3,0,5,http://bj.bendibao.com/jingdian/baihuashenchuhutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
故宫,116.403596,39.920041,3,1,7,http://bj.bendibao.com/jingdian/gugong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
东安门夜市,116.415916,39.921967,3,1,3,http://bj.bendibao.com/jingdian/donganmenyeshi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
午门,116.403614,39.919899,3,0,1,http://bj.bendibao.com/jingdian/wumen/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北京安定门,116.414656,39.955949,3,0,6,http://bj.bendibao.com/jingdian/beijingandingmen/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北滨河公园,116.395779,39.956432,3,2,4,http://bj.bendibao.com/jingdian/beibinhegongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
松堂斋民间雕刻博物馆,116.422729,39.951911,3,0,0,http://bj.bendibao.com/jingdian/songtangzhaiminjiandiaokebowuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
雍和宫,116.423248,39.951551,3,0,7,http://bj.bendibao.com/jingdian/yonghegong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
松堂博物馆,116.422766,39.951994,3,1,3,http://bj.bendibao.com/jingdian/songtangbowuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
簋街,116.426736,39.947873,3,1,10,http://bj.bendibao.com/jingdian/guijie/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
王府井,116.418174,39.922351,3,2,0,http://bj.bendibao.com/jingdian/wangfujing/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
普度寺,116.411115,39.919809,3,3,6,http://bj.bendibao.com/jingdian/pudusi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
张自忠北京故居,116.388211,39.923869,3,0,5,http://bj.bendibao.com/jingdian/zhangzizhongbeijingguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
宝贝当家儿童体验馆,116.393095,39.956011,3,2,8,http://bj.bendibao.com/jingdian/baobeidangjiaertongtiyanguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北二环城市公园,116.418709,39.955085,3,2,9,http://bj.bendibao.com/jingdian/beierhuanchengshigongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
五道营胡同,116.41963,39.954663,3,0,4,http://bj.bendibao.com/jingdian/wudaoyinghutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北京佛教居士林,116.382445,39.928787,3,3,9,http://bj.bendibao.com/jingdian/beijingfojiaojushilin/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
棍贝子府,116.382261,39.948675,3,3,2,http://bj.bendibao.com/jingdian/gunbeizifu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
东四南大街,116.424122,39.92499,3,1,7,http://bj.bendibao.com/jingdian/dongsinandajie/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
隆长寺,116.379135,39.933933,3,0,10,http://bj.bendibao.com/jingdian/beijinglongchangsi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
史家胡同,116.424194,39.924572,3,2,8,http://bj.bendibao.com/jingdian/shijiahutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
礼亲王府,116.383595,39.925625,3,2,10,http://bj.bendibao.com/jingdian/liqinwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
柏林寺,116.426065,39.951634,3,3,8,http://bj.bendibao.com/jingdian/bailinsi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
当铺李,116.431767,39.94192,3,1,10,http://bj.bendibao.com/jingdian/dangpuli/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
