title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id,poiID
"德胜门内",116.38616,39.9518,4,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289497.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138550
"平安里路口北",116.37945,39.93978,30,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289783.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138558
"六铺炕",116.39955,39.95779,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289243.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138566
"平安里",116.37934,39.93975,29,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295172.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138581
"西四路口东",116.38164,39.93026,39,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289868.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138600
"大红罗厂西口",116.37969,39.93463,14,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289008.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138615
"安定门东站",116.41686,39.95619,38,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289962.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138628
"灯市东口",116.4241,39.92541,13,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289900.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138642
"钟楼北桥北",116.40176,39.95849,41,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289776.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138653
"护国寺",116.3793,39.94298,17,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289153.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138665
"国子监",116.42306,39.95313,40,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288997.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138678
"锡拉胡同",116.41318,39.91948,16,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289531.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138684
"平安里路口西",116.3785,39.9385,43,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289840.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138701
